Question,Mean,Median,Standard Deviation,Variance,Max Score
1,6.462,7.0,3.069,9.422,10
2,0.87,1.0,0.647,0.418,2
3,2.957,3.0,1.201,1.443,4
4,0.995,0.0,1.367,1.868,4
5,3.135,2.5,2.632,6.929,10
6,1.764,0.5,2.602,6.769,10
7,2.784,3.0,1.414,1.999,5
8,1.293,1.0,1.259,1.585,5
9,2.188,2.25,1.748,3.054,5
10,2.591,2.25,1.536,2.359,5
11,2.288,2.0,1.978,3.912,5
12,1.538,1.75,1.009,1.018,5
13,1.048,0.25,1.361,1.853,5
14,0.716,0.0,1.306,1.706,5
